point,n_total,missing_raw,rejected_added,filled,missing_final,pct_missing_raw,pct_rejected_added,pct_filled,pct_missing_final,n_out_of_bounds,n_roc_spike,n_stuck,n_unresponsive
wifi_fourth_south,1578241,1477206,0,0,1477206,0.9359825273833338,0.0,0.0,0.9359825273833338,0,0,0,0
occ_forth_south,1578241,1182048,0,5,1182043,0.7489654621822649,0.0,3.16808396182839e-06,0.7489622940983031,0,0,0,0
zone_062_co2,1578241,1024523,8,0,1024531,0.6491549769648615,5.068934338925424e-06,0.0,0.6491600458992004,8,0,0,0
zone_062_heating_sp,1578241,1341115,0,970435,370680,0.8497529844934962,0.0,0.6148839118993867,0.23486907259410952,0,0,0,0
zone_062_cooling_sp,1578241,1341108,0,970428,370680,0.8497485491759497,0.0,0.6148794765818402,0.23486907259410952,0,0,0,0
rtu_003_fltrd_lvl2_plenum_press_tn,1578241,196390,3289,0,199679,0.1244360018526955,0.002083965630090715,0.0,0.1265199674827862,0,3289,0,0
rtu_003_fltrd_gnd_plenum_press_tn,1578241,196390,3198,0,199588,0.1244360018526955,0.0020263065019854383,0.0,0.12646230835468095,0,3198,0,0
rtu_003_ra_temp,1578241,195514,2,0,195516,0.12388095354258316,1.267233584731356e-06,0.0,0.1238822207761679,0,2,0,0
rtu_003_ma_temp,1578241,195514,0,0,195514,0.12388095354258316,0.0,0.0,0.12388095354258316,0,0,0,0
rtu_003_oa_fr,1578241,194069,0,0,194069,0.12296537727761477,0.0,0.0,0.12296537727761477,0,0,0,1
zone_062_temp,1578241,182947,4,0,182951,0.1159182913129237,2.534467169462712e-06,0.0,0.11592082578009315,0,4,0,0
rtu_003_sa_temp,1578241,182803,28,0,182831,0.11582705049482303,1.7741270186238984e-05,0.0,0.11584479176500927,2,26,0,0
rtu_003_rf_vfd_spd_fbk_tn,1578241,196241,12360,28525,180076,0.12434159295063302,0.00783150355363978,0.018073919002230966,0.11409917750204183,12356,4,0,0
rtu_003_sf_vfd_spd_fbk_tn,1578241,196241,12389,28557,180073,0.12434159295063302,0.007849878440618385,0.018094194739586667,0.11409727665166473,12353,36,0,0
zone_062_fan_spd,1578241,142671,0,240,142431,0.09039874138360364,0.0,0.0001520680301677627,0.09024667335343588,0,0,0,0
rtu_003_oa_damper,1578241,194069,613,70593,124089,0.12296537727761477,0.0003884070937201606,0.04472891022347031,0.07862487414786462,0,613,0,0
rtu_003_econ_stpt_tn,1578241,194069,3,194072,0,0.12296537727761477,1.900850377097034e-06,0.12296727812799185,0.0,0,3,0,0
rtu_003_pa_static_stpt_tn,1578241,182610,1,182611,0,0.11570476245389646,6.33616792365678e-07,0.11570539607068882,0.0,0,1,0,0
